R001 A1,A2,A3,A4,A5,A6
R002 A7,A8,A9,A10,A11,A12,A13,A14
R003 B1,B2,B3,B4,B5,B6,B7
R004 B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18
R005 B19,B20
R006 C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
R007 D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
R008 E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
R009 F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
R0010 G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
R0011 H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19
R0012 I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16
R0013 J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15
R0014 A15,A16,A17,A18,A19,A20
R0015 H20
R0016 J16,J17,J18,J19,J20
R0017 G14,G15,G16,G17,G18,G19,G20
R0018 C13,C14,C15,C16,C17,C18,C19
R0019 E19,E20
R0020 C20,D15,D16,D17,D18,D19,D20,I17,I18,I19
